ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
AVON.L,2010-01-04,100.0,2010-01-22,89.05,19,-227.95,-10.9,18,HARD_STOP
KGH.WA,2010-01-04,109.04,2010-01-29,96.52,18,-245.49,-11.5,25,HARD_STOP
TPK.L,2010-01-04,813.23,2010-01-29,694.02,2,-258.42,-14.7,25,HARD_STOP
ASM.AS,2010-01-22,18.07,2010-02-05,15.72,108,-274.76,-13.1,14,HARD_STOP
HEXA-B.ST,2010-01-04,13.69,2010-02-12,11.9,144,-277.33,-13.1,39,HARD_STOP
UTG.L,2010-02-05,283.51,2010-03-05,263.68,6,-139.01,-7.0,28,BELOW_30W_SMA
BOL.ST,2010-01-04,95.83,2010-05-07,87.46,20,-187.32,-8.7,123,REGIME_OFF_10W
NYR.BR,2010-01-04,32.91,2010-05-07,30.99,60,-135.62,-5.9,123,REGIME_OFF_10W
AMP.MI,2010-01-04,3.04,2010-05-07,3.39,654,207.48,11.4,123,REGIME_OFF_10W
IFX.DE,2010-01-04,4.12,2010-05-07,4.51,482,165.0,9.3,123,REGIME_OFF_10W
TRI.PA,2010-01-04,13.65,2010-05-07,16.13,145,339.75,18.2,123,REGIME_OFF_10W
VSVS.L,2010-01-29,213.95,2010-05-07,241.79,7,174.85,13.0,98,REGIME_OFF_10W
AIXA.DE,2010-03-05,23.51,2010-05-07,23.51,66,-20.34,-0.0,63,REGIME_OFF_10W
TEG.DE,2010-05-14,4.02,2010-05-28,3.73,503,-164.88,-7.2,14,BELOW_30W_SMA
1U1.DE,2010-05-28,5.42,2010-06-11,5.08,360,-145.1,-6.4,14,BELOW_30W_SMA
CCR.L,2010-01-29,275.51,2010-07-02,300.7,7,156.31,9.1,154,REGIME_OFF_10W
SNR.L,2010-02-12,82.16,2010-07-02,115.92,21,688.93,41.1,140,REGIME_OFF_10W
RBREW.CO,2010-05-14,41.31,2010-07-02,38.21,46,-162.48,-7.5,49,REGIME_OFF_10W
AMS.SW,2010-05-14,28.28,2010-07-02,26.19,47,-118.13,-7.4,49,REGIME_OFF_10W
CRBN.AS,2010-05-14,24.66,2010-07-02,23.5,82,-115.59,-4.7,49,REGIME_OFF_10W
CLN.SW,2010-05-14,14.27,2010-07-02,13.37,119,-126.89,-6.3,49,REGIME_OFF_10W
IFX.DE,2010-05-14,5.06,2010-07-02,4.71,301,-127.41,-7.0,49,REGIME_OFF_10W
DIE.BR,2010-07-09,35.97,2010-08-20,34.93,53,-75.46,-2.9,42,BELOW_30W_SMA
YSN.DE,2010-05-14,10.4,2010-08-27,11.25,195,146.09,8.2,105,REGIME_OFF_10W
HPOL-B.ST,2010-07-09,8.36,2010-08-27,7.78,231,-153.5,-6.9,49,REGIME_OFF_10W
ATS.VI,2010-07-09,10.01,2010-08-27,9.0,193,-216.15,-10.1,49,REGIME_OFF_10W
COK.DE,2010-07-09,3.52,2010-08-27,3.53,499,-14.14,0.3,49,REGIME_OFF_10W
KEMIRA.HE,2010-07-09,9.55,2010-08-27,9.11,202,-108.53,-4.6,49,REGIME_OFF_10W
CLN.SW,2010-07-09,14.36,2010-08-27,12.69,134,-244.48,-11.7,49,HARD_STOP
ELG.DE,2010-09-03,8.21,2010-10-15,7.16,237,-268.1,-12.7,42,HARD_STOP
DRW3.DE,2010-08-20,59.8,2010-11-26,55.87,28,-129.99,-6.6,98,BELOW_30W_SMA
KTN.DE,2010-07-09,2.28,2011-01-07,2.45,725,106.4,7.7,182,BELOW_30W_SMA
LPK.DE,2010-06-11,8.54,2011-03-18,12.36,206,767.0,44.7,280,BELOW_30W_SMA
COK.DE,2010-09-03,3.81,2011-03-18,4.2,513,180.02,10.2,196,BELOW_30W_SMA
FOUR.L,2010-09-03,210.04,2011-05-06,251.73,9,355.21,19.8,245,BELOW_30W_SMA
RBREW.CO,2010-10-15,58.69,2011-06-17,67.56,28,228.32,15.1,245,BELOW_30W_SMA
HEXA-B.ST,2010-09-03,16.2,2011-06-24,20.47,104,424.31,26.4,294,BELOW_30W_SMA
SFQ.DE,2011-01-07,7.21,2011-07-29,7.81,243,126.99,8.4,203,BELOW_30W_SMA
CDR.WA,2011-03-18,7.11,2011-07-29,6.77,214,-92.62,-4.8,133,BELOW_30W_SMA
OXIG.L,2010-09-03,361.8,2011-08-05,882.81,5,2585.07,144.0,336,REGIME_OFF_10W
CON.DE,2010-09-03,46.33,2011-08-05,51.52,42,197.94,11.2,336,REGIME_OFF_10W
HPOL-B.ST,2010-11-26,11.58,2011-08-05,12.49,137,103.66,7.8,252,REGIME_OFF_10W
ELM.L,2011-03-18,146.34,2011-08-05,140.23,14,-105.49,-4.2,140,REGIME_OFF_10W
AVON.L,2011-05-06,278.89,2011-08-05,240.79,8,-324.78,-13.7,91,HARD_STOP
RSW.L,2011-06-17,1747.69,2011-08-05,1396.98,1,-370.71,-20.1,49,HARD_STOP
