ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,holding_days,exit_reason
AVON.L,2010-01-04,100.0,2010-01-15,90.55,48,-473.72,-9.5,11,HARD_STOP
HEXA-B.ST,2010-01-04,13.69,2010-01-22,12.33,416,-582.0,-9.9,18,HARD_STOP
BOL.ST,2010-01-04,95.83,2010-02-12,87.66,59,-501.87,-8.5,39,HARD_STOP
TRI.PA,2010-01-29,15.48,2010-02-12,14.17,3,-23.92,-8.5,14,HARD_STOP
EUZ.DE,2010-02-19,1.66,2010-04-09,1.62,3,-20.1,-1.9,49,HARD_STOP
NYR.BR,2010-01-04,32.91,2010-05-07,30.99,115,-241.61,-5.9,123,REGIME_OFF_10W
IFX.DE,2010-01-15,4.07,2010-05-07,4.51,1070,453.06,10.9,112,REGIME_OFF_10W
BHW.WA,2010-01-22,74.37,2010-05-07,73.63,68,-70.32,-1.0,105,HARD_STOP
HILS.L,2010-05-14,361.3,2010-05-21,338.3,16,-387.96,-6.4,7,BELOW_30W_SMA
ITP.PA,2010-05-14,4.8,2010-05-21,4.37,348,-171.33,-9.1,7,HARD_STOP
GN.CO,2010-02-12,30.95,2010-07-02,41.59,167,1756.38,34.4,140,REGIME_OFF_10W
YSN.DE,2010-05-14,10.4,2010-08-27,11.25,565,461.24,8.2,105,REGIME_OFF_10W
COK.DE,2010-06-11,2.86,2010-08-27,3.53,7,-15.3,23.5,77,REGIME_OFF_10W
KEMIRA.HE,2010-07-09,9.55,2010-08-27,9.11,598,-282.09,-4.6,49,REGIME_OFF_10W
IXX.DE,2010-05-21,13.94,2010-10-29,13.69,397,-122.49,-1.9,161,BELOW_30W_SMA
DRW3.DE,2010-09-03,62.41,2010-11-12,56.96,92,-521.1,-8.7,70,HARD_STOP
LXS.DE,2010-10-29,50.25,2011-03-18,49.25,107,-127.26,-2.0,140,BELOW_30W_SMA
COK.DE,2010-11-12,4.87,2011-03-18,4.2,900,-621.53,-13.7,126,BELOW_30W_SMA
BESI.AS,2011-03-18,3.13,2011-06-24,2.83,1579,-496.51,-9.6,98,BELOW_30W_SMA
CDR.WA,2011-03-18,7.11,2011-07-29,6.77,696,-256.19,-4.8,133,BELOW_30W_SMA
AVON.L,2011-06-24,312.55,2011-07-29,280.34,14,-470.99,-10.3,35,HARD_STOP
STO3.DE,2010-05-21,69.95,2011-08-05,99.5,19,541.49,42.2,441,REGIME_OFF_10W
OXIG.L,2010-09-03,361.8,2011-08-05,882.81,15,7795.21,144.0,336,REGIME_OFF_10W
DLG.MI,2010-09-03,3.83,2011-08-05,6.87,474,1419.28,79.3,336,REGIME_OFF_10W
CCC.L,2011-07-29,620.12,2011-08-05,508.7,13,-1468.45,-18.0,7,HARD_STOP
FRAS.L,2011-07-29,267.23,2011-08-05,210.64,2,-133.18,-21.2,7,HARD_STOP
COK.DE,2012-05-25,6.41,2012-06-01,5.98,983,-442.11,-6.7,7,REGIME_OFF_10W
VPK.AS,2012-05-25,46.88,2012-06-01,45.77,154,-190.67,-2.4,7,REGIME_OFF_10W
AFX.DE,2012-05-25,19.67,2012-06-01,18.86,245,-220.32,-4.2,7,REGIME_OFF_10W
HPOL-B.ST,2012-05-25,25.53,2012-06-15,23.78,276,-502.03,-6.8,21,REGIME_OFF_10W
IPO.L,2012-06-22,149.24,2012-08-17,125.37,43,-1046.52,-16.0,56,HARD_STOP
COK.DE,2012-06-22,7.03,2012-08-24,6.13,12,-30.78,-12.8,63,HARD_STOP
GLPG.BR,2012-08-17,14.68,2012-08-31,13.08,366,-605.16,-10.9,14,HARD_STOP
ASML.AS,2012-06-22,51.84,2012-10-19,51.72,132,-36.07,-0.2,119,BELOW_30W_SMA
GN.CO,2012-08-31,80.55,2012-12-14,78.51,60,-142.72,-2.5,105,HARD_STOP
FRAS.L,2012-06-22,306.32,2014-01-31,680.58,14,5219.58,122.2,588,BELOW_30W_SMA
LPP.WA,2012-06-22,3197.91,2014-03-14,8248.55,2,10081.28,157.9,630,BELOW_30W_SMA
OCDO.L,2014-01-31,525.61,2014-03-14,481.18,18,-819.79,-8.5,42,HARD_STOP
AZM.MI,2012-10-19,8.9,2014-05-09,19.46,764,8045.46,118.6,567,BELOW_30W_SMA
